Game,Price,Paid,Savings,Compatibility,,,,,,,,,,
Hollow Knight: Voidheart Edition ⭐,€14.49,€0.00,€14.49,,,,,,,,,,,
Home,€4.99,€1.99,€3.00,VITA,,,,,,,,,,
HoPiKo,€6.99,€1.99,€5.00,,,,,,,,,,,
Horizon Zero Dawn ✔,€34.98,€27.98,€7.00,,,,,,,,,,,
Hotline Miami,€0.00,€0.00,€0.00,PS3 & VITA,,,,,,,,,,
inFamous First Light,€14.99,€7.99,€7.00,,,,,,,,,,,
inFamous Second Son,€14.99,€6.99,€8.00,,,,,,,,,,,
Infliction: Extended Cut ✔,€17.99,€8.99,€9.00,,,,,,,,,,,
Injustice: Gods Among Us,€59.99,€9.59,€50.40,,,,,,,,,,,
Jak 3 ✔,€26.98,€26.98,€0.00,PS3 & VITA,,,,,,,,,,
Jak and Daxter: The Precursor Legacy ✔,€26.98,€26.98,€0.00,PS3 & VITA,,,,,,,,,,
Jak II ✔,€24.97,€24.97,€0.00,PS3 & VITA,,,,,,,,,,
Jak X ✔,€9.99,€9.99,€0.00,,,,,,,,,,,
Jazzpunk: Director's Cut,€17.99,€4.99,€13.00,,,,,,,,,,,
Jetpack Joyride,€5.58,€3.98,€1.60,VITA,,,,,,,,,,
Journey,€14.99,€14.99,€0.00,PS3,,,,,,,,,,
Katamari Damacy: Reroll ✔,€49.98,€40.98,€9.00,VITA,,,,,,,,,,
Kerbal Space Program,€39.99,€19.99,€20.00,,,,,,,,,,,
Kingdom Hearts HD 1.5 & 2.5 (+5) ✔,€36.99,€12.10,€24.89,,,,,,,,,,,
Kingdom Hearts HD 2.8 Final Chapter Prologue (+2) ✔,€36.99,€12.10,€24.89,,,,,,,,,,,
Kingdom Hearts III ✔,€35.99,€12.09,€23.90,,,,,,,,,,,
Kingdoms of Amalur: Re-Reckoning ⭐,€39.99,€0.00,€39.99,,,,,,,,,,,
Knockout City ⭐,€19.99,€0.00,€19.99,,,,,,,,,,,
LA Cops,€13.99,€2.99,€11.00,,,,,,,,,,,
LEGO City Undercover,€59.99,€16.99,€43.00,,,,,,,,,,,
LEGO DC Super-Villains ⭐,€59.99,€0.00,€59.99,,,,,,,,,,,
LEGO Harry Potter Collection (+1),€39.99,€19.99,€20.00,VITA,,,,,,,,,,
LEGO Marvel,€39.99,€9.99,€30.00,,,,,,,,,,,
Lichtspeer,€9.99,€5.99,€4.00,VITA,,,,,,,,,,
Life Is Strange ✔,€16.99,€5.99,€11.00,PS3,,,,,,,,,,
LittleBigPlanet 3,€19.99,€9.99,€10.00,,,,,,,,,,,
LocoRoco,€14.99,€14.99,€0.00,,,,,,,,,,,
Lovers In A Dangerous Spacetime ✔,€14.99,€4.99,€10.00,,,,,,,,,,,
LUMO,€17.99,€9.99,€8.00,VITA,,,,,,,,,,
Mafia: Definitive Edition ✔,€39.99,€29.99,€10.00,,,,,,,,,,,
Mafia III,€39.99,€9.99,€30.00,,,,,,,,,,,
Maneater ⭐✔,€39.99,€19.99,€20.00,,,,,,,,,,,
Manhunt ✔,€13.99,€5.99,€8.00,,,,,,,,,,,
Manual Samuel ✔,€9.99,€4.99,€5.00,,,,,,,,,,,
Maquette ✔,€17.99,€14.39,€3.60,,,,,,,,,,,
Marvel's Guardians Of The Galaxy TTG ✔,€14.99,€14.99,€0.00,,,,,,,,,,,
Marvel's Spider-Man 🥳🎁✔,€79.99,€0.00,€79.99,,,,,,,,,,,
Mass Effect: Legendary Edition,€69.99,€44.79,€25.20,,,,,,,,,,,
Max Payne,€13.99,€5.99,€8.00,,,,,,,,,,,
MediEvil ✔,€29.99,€29.99,€0.00,,,,,,,,,,,
Mega Man Legacy Collection (+5),€14.99,€7.99,€7.00,,,,,,,,,,,
Mega Man Legacy Collection 2 (+3),€14.99,€7.99,€7.00,,,,,,,,,,,
Mega Man X Legacy Collection (+3),€19.99,€11.99,€8.00,,,,,,,,,,,
Mega Man X Legacy Collection 2 (+3),€19.99,€11.99,€8.00,,,,,,,,,,,
Metal Gear Solid V: The Phantom Pain ✔,€29.99,€7.49,€22.50,,,,,,,,,,,
Metro Exodus ⭐,€39.99,€9.99,€30.00,,,,,,,,,,,
Metro Redux (+1),€29.99,€4.49,€25.50,,,,,,,,,,,
Micro Machines World Series ✔,€39.99,€26.99,€13.00,,,,,,,,,,,
Minutes,€4.49,€3.49,€1.00,VITA,,,,,,,,,,
Monopoly Family Fun Pack,€29.99,€19.99,€10.00,,,,,,,,,,,
Monster Hunter World: Iceborne ⭐,€19.99,€0.00,€19.99,,,,,,,,,,,
Mortal Kombat X ⭐,€19.99,€0.00,€19.99,,,,,,,,,,,
Mortal Shell ⭐,€29.99,€0.00,€29.99,,,,,,,,,,,
Mother Russia Bleeds ✔,€12.99,€4.49,€8.50,,,,,,,,,,,
Ninja Senki DX,€5.99,€1.99,€4.00,VITA,,,,,,,,,,
Nitroplus Blasterz: Heroines Infinite Duel,€19.99,€14.99,€5.00,,,,,,,,,,,
No Man's Sky ⭐,€49.99,€24.99,€25.00,,,,,,,,,,,
Octodad: Dadliest Catch ✔,€13.99,€7.00,€6.99,VITA,,,,,,,,,,
Oddworld: New 'n' Tasty ✔,€23.58,€20.98,€2.60,PS3 & VITA,,,,,,,,,,
Oddworld: Soulstorm,€49.99,€49.99,€0.00,,,,,,,,,,,
OlliOlli: Epic Combo Edition,€24.99,€9.99,€15.00,VITA ,,,,,,,,,,
OlliOlli 2,€12.99,€6.49,€6.50,VITA ,,,,,,,,,,
One Escape ✔,€4.99,€3.49,€1.50,,,,,,,,,,,
One Piece Unlimited World Red,€79.98,€18.98,€61.00,VITA,,,,,,,,,,
Outbreak: Epidemic ✔,€14.99,€8.24,€6.75,,,,,,,,,,,
Outlast,€18.99,€3.79,€15.20,,,,,,,,,,,
Ovivo ✔,€6.99,€2.79,€4.20,,,,,,,,,,,
Oxenfree,€9.99,€4.99,€5.00,,,,,,,,,,,
Pac-Man 256 ✔,€4.99,€4.99,€0.00,,,,,,,,,,,
PaRappa The Rapper Remastered ✔,€14.99,€14.99,€0.00,,,,,,,,,,,
PaRappa The Rapper 2 ✔,€9.99,€5.99,€4.00,,,,,,,,,,,
Party Hard ✔,€12.99,€4.99,€8.00,,,,,,,,,,,
Persona 5,€69.99,€34.99,€35.00,,,,,,,,,,,
PGA Tour 2K21 ⭐,€59.99,€0.00,€59.99,,,,,,,,,,,
Pic-A-Pix Color,€7.99,€3.99,€4.00,VITA,,,,,,,,,,
PixelJunk Shooter Ultimate,€11.99,€2.99,€9.00,VITA,,,,,,,,,,
Poltergeist: A Pixelated Horror,€7.99,€2.99,€5.00,VITA,,,,,,,,,,
Polybius,€16.99,€4.99,€12.00,VR 💎 ,,,,,,,,,,
Psychonauts ✔,€10.99,€7.99,€3.00,,,,,,,,,,,
Psychonauts 2 ✔,€59.99,€41.99,€18.00,,,,,,,,,,,
Pumped BMX+,€9.99,€2.99,€7.00,PS3 & VITA,,,,,,,,,,
Putty Squad ✔,€24.99,€6.99,€18.00,,,,,,,,,,,
Quest Of Dungeons,€8.99,€3.99,€5.00,,,,,,,,,,,
Rally Copters,€10.99,€10.99,€0.00,VITA,,,,,,,,,,
Ratchet & Clank ✔,€39.99,€16.49,€23.50,,,,,,,,,,,
Ratchet & Clank: Rift Apart 🎄🎁,€79.99,€0.00,€79.99,,,,,,,,,,,
Rayman Legends ✔,€39.98,€26.99,€12.99,PS3 & VITA,,,,,,,,,,
Red Dead Redemption 2 ✔,€69.99,€34.99,€35.00,,,,,,,,,,,
Red Dead Revolver,€13.99,€5.99,€8.00,,,,,,,,,,,
Resident Evil: Re:Verse,€0.00,€0.00,€0.00,,,,,,,,,,,
Resident Evil: Resistance,€0.00,€0.00,€0.00,,,,,,,,,,,
Resident Evil 0,€19.99,€4.99,€15.00,,,,,,,,,,,
Resident Evil,€19.99,€4.99,€15.00,,,,,,,,,,,
Resident Evil 2 ✔,€59.99,€59.99,€0.00,,,,,,,,,,,
Resident Evil 3 ✔,€59.99,€19.79,€40.20,,,,,,,,,,,
Resident Evil 4 ✔,€19.99,€7.99,€12.00,,,,,,,,,,,
Resident Evil 5,€19.99,€7.99,€12.00,,,,,,,,,,,
Resident Evil 6,€19.99,€7.99,€12.00,,,,,,,,,,,
Resident Evil 7,€49.98,€26.98,€23.00,VR 💎 ,,,,,,,,,,
Resident Evil Revelations ✔,€19.99,€7.49,€12.50,,,,,,,,,,,
Resident Evil Revelations 2,€19.99,€7.49,€12.50,,,,,,,,,,,
Resident Evil Village,€69.99,€39.89,€30.10,,,,,,,,,,,
RESOGUN,€12.99,€3.99,€9.00,PS3 & VITA,,,,,,,,,,
Retro City Rampage DX,€9.99,€4.99,€5.00,PS3 & VITA,,,,,,,,,,
Riptide GP: Renegade,€9.99,€3.99,€6.00,,,,,,,,,,,
Rise Of The Tomb Raider ✔,€29.99,€14.99,€15.00,VR 💎 ,,,,,,,,,,
Risk Of Rain,€8.99,€3.99,€5.00,VITA,,,,,,,,,,
Road Redemption,€19.99,€7.99,€12.00,,,,,,,,,,,
Rock Boshers DX: Director's Cut ✔,€5.49,€5.49,€0.00,VITA,,,,,,,,,,
Rocket League ✔,€34.58,€26.58,€8.00,,,,,,,,,,,
Rocketbirds 2: Evolution,€12.99,€12.99,€0.00,VITA,,,,,,,,,,
Rogue Company,€0.00,€0.00,€0.00,,,,,,,,,,,
